"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 25 127484 15 5 0 5
"3" 32 32 127477 20 6 1 5
"4" 48 39 127471 27 4 1 7
"5" 64 48 127461 31 5 2 10
"6" 80 64 127446 42 7 3 12
"7" 96 79 127427 52 6 6 15
"8" 112 97 127412 61 9 9 18
"9" 128 123 127383 77 13 12 21
"10" 144 171 127337 104 21 18 28
"11" 160 227 127276 147 23 21 36
"12" 176 292 127214 194 18 29 51
"13" 192 332 127170 210 25 31 66
"14" 208 419 127082 246 55 36 82
"15" 224 553 126941 334 65 48 106
"16" 240 710 126779 425 83 60 142
"17" 256 931 126565 572 91 73 195
"18" 272 1151 126325 705 115 97 234
"19" 288 1458 126015 885 151 122 300
"20" 304 1817 125632 1082 207 162 366
"21" 320 2323 125123 1394 245 213 471
"22" 336 2964 124476 1791 308 272 593
"23" 352 3819 123615 2335 394 335 755
"24" 368 4888 122508 2989 492 431 976
"25" 384 6140 121190 3725 660 538 1217
"26" 400 7811 119496 4756 811 661 1583
"27" 416 9885 117348 5982 1038 843 2022
"28" 432 12557 114620 7549 1355 1077 2576
"29" 448 15903 111213 9527 1689 1393 3294
"30" 464 19831 107155 11845 2075 1794 4117
"31" 480 24489 102411 14421 2676 2245 5147
"32" 496 30391 96403 17575 3450 2856 6510
"33" 512 37390 89200 21430 4213 3579 8168
"34" 528 45527 80852 25558 5109 4504 10356
"35" 544 54506 71746 29671 6237 5610 12988
"36" 560 64277 61812 33768 7454 6992 16063
"37" 576 74407 51546 37077 8934 8489 19907
"38" 592 84569 41226 39509 10358 10433 24269
"39" 608 94658 31225 40983 11801 12602 29272
"40" 624 103336 22502 40362 12928 15128 34918
"41" 640 110660 15136 38033 13900 17845 40882
"42" 656 116414 9567 33977 14378 20691 47368
"43" 672 120644 5650 29086 14261 23387 53910
"44" 688 123283 3184 23307 13677 26037 60262
"45" 704 124949 1776 17622 12459 28585 66283
"46" 720 125906 1027 12641 10752 30836 71677
"47" 736 126523 615 8677 8851 32764 76231
"48" 752 126864 387 5594 7073 34328 79869
"49" 768 127016 281 3514 5345 35540 82617
"50" 784 127155 225 2118 3852 36455 84730
"51" 800 127251 183 1243 2725 37086 86197
