"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 23 127486 13 8 0 2
"3" 32 39 127470 29 6 0 4
"4" 48 59 127450 45 5 0 9
"5" 64 86 127421 65 9 0 12
"6" 80 109 127395 80 12 1 16
"7" 96 145 127362 100 20 3 22
"8" 112 200 127306 143 19 8 30
"9" 128 252 127251 175 24 11 42
"10" 144 336 127167 221 46 21 48
"11" 160 442 127058 284 53 33 72
"12" 176 576 126923 374 64 41 97
"13" 192 743 126745 476 89 51 127
"14" 208 932 126551 592 90 68 182
"15" 224 1183 126294 741 123 92 227
"16" 240 1534 125934 955 155 125 299
"17" 256 1963 125494 1229 203 150 381
"18" 272 2506 124934 1563 248 202 493
"19" 288 3222 124216 1988 349 259 626
"20" 304 4057 123348 2466 437 327 827
"21" 320 5245 122142 3222 571 417 1035
"22" 336 6680 120675 4091 727 527 1335
"23" 352 8444 118849 5092 936 711 1705
"24" 368 10810 116437 6572 1156 907 2175
"25" 384 13640 113503 8223 1450 1186 2781
"26" 400 17082 109978 10241 1826 1480 3535
"27" 416 21495 105482 12856 2337 1842 4460
"28" 432 26710 100128 15798 2919 2338 5655
"29" 448 32952 93754 19225 3629 2979 7119
"30" 464 40290 86209 23002 4496 3837 8955
"31" 480 48700 77702 27081 5524 4770 11325
"32" 496 58175 68045 31296 6696 5970 14213
"33" 512 68107 57870 35056 8093 7394 17564
"34" 528 78407 47487 38371 9376 9150 21510
"35" 544 88476 37317 40405 10777 11113 26181
"36" 560 97872 27906 40985 12162 13387 31338
"37" 576 106249 19600 39714 13381 15823 37331
"38" 592 113155 12776 36962 14133 18528 43532
"39" 608 118238 7826 32392 14407 21344 50095
"40" 624 121799 4598 26992 14086 24167 56554
"41" 640 124014 2577 21197 13282 26795 62740
"42" 656 125320 1424 15607 11951 29324 68438
"43" 672 126138 833 10962 10093 31492 73591
"44" 688 126654 508 7353 8308 33236 77757
"45" 704 126963 314 4747 6382 34649 81185
"46" 720 127123 232 2854 4750 35701 83818
"47" 736 127193 189 1715 3414 36464 85600
"48" 752 127279 157 1002 2396 37005 86876
"49" 768 127327 134 613 1603 37368 87743
"50" 784 127352 126 350 1035 37603 88364
"51" 800 127372 118 186 672 37777 88737
