"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 30 127482 20 6 0 4
"3" 32 44 127465 32 5 0 7
"4" 48 63 127446 47 7 1 8
"5" 64 89 127419 66 8 4 11
"6" 80 112 127396 80 10 6 16
"7" 96 144 127360 95 17 9 23
"8" 112 205 127301 136 29 13 27
"9" 128 277 127226 183 36 18 40
"10" 144 350 127149 229 34 24 63
"11" 160 447 127044 286 49 31 81
"12" 176 574 126924 359 64 42 109
"13" 192 724 126763 443 79 60 142
"14" 208 948 126533 596 93 78 181
"15" 224 1164 126313 709 128 102 225
"16" 240 1485 125975 895 157 131 302
"17" 256 1933 125530 1164 191 170 408
"18" 272 2413 125033 1461 235 213 504
"19" 288 3063 124371 1863 286 273 641
"20" 304 3873 123554 2339 403 334 797
"21" 320 4870 122503 2933 519 417 1001
"22" 336 6189 121169 3759 632 520 1278
"23" 352 7826 119480 4713 813 661 1639
"24" 368 9935 117266 5959 1059 833 2084
"25" 384 12578 114594 7537 1322 1074 2645
"26" 400 15859 111265 9506 1620 1390 3343
"27" 416 19748 107260 11734 2112 1707 4195
"28" 432 24599 102329 14481 2635 2193 5290
"29" 448 30496 96240 17704 3313 2798 6681
"30" 464 37423 89193 21319 4133 3553 8418
"31" 480 45376 81092 25296 5154 4395 10531
"32" 496 54520 71825 29550 6315 5539 13116
"33" 512 64315 61767 33673 7535 6846 16261
"34" 528 74569 51408 37285 8763 8449 20072
"35" 544 84710 41187 39785 10278 10295 24352
"36" 560 94548 31323 41066 11670 12412 29400
"37" 576 103441 22370 40433 13162 14798 35048
"38" 592 110963 14968 38431 13881 17410 41241
"39" 608 116505 9444 34361 14171 20206 47767
"40" 624 120646 5645 29147 14231 22993 54275
"41" 640 123348 3206 23359 13521 25729 60739
"42" 656 124939 1818 17546 12450 28269 66674
"43" 672 125902 1010 12650 10794 30511 71947
"44" 688 126510 598 8650 8970 32432 76458
"45" 704 126846 394 5635 7164 33939 80108
"46" 720 127045 267 3481 5524 35120 82920
"47" 736 127191 193 2137 3942 36015 85097
"48" 752 127283 158 1261 2748 36651 86623
"49" 768 127295 144 687 1857 37084 87667
"50" 784 127339 131 398 1238 37399 88304
"51" 800 127364 120 225 773 37590 88776
