"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 21 127489 11 2 3 5
"3" 32 26 127484 16 0 4 6
"4" 48 29 127481 17 1 4 7
"5" 64 34 127476 19 2 5 8
"6" 80 42 127468 24 1 5 12
"7" 96 47 127461 22 7 5 13
"8" 112 64 127445 34 8 7 15
"9" 128 87 127420 51 9 8 19
"10" 144 104 127403 59 7 12 26
"11" 160 120 127389 67 8 16 29
"12" 176 137 127368 69 11 21 36
"13" 192 179 127328 87 24 25 43
"14" 208 230 127273 124 19 30 57
"15" 224 282 127223 161 20 33 68
"16" 240 324 127178 177 33 35 79
"17" 256 416 127084 229 42 46 99
"18" 272 507 126987 271 56 58 122
"19" 288 634 126855 352 63 71 148
"20" 304 806 126677 470 69 84 183
"21" 320 990 126496 575 94 103 218
"22" 336 1263 126223 743 131 124 265
"23" 352 1558 125914 931 154 155 318
"24" 368 1946 125497 1156 200 196 394
"25" 384 2540 124906 1530 262 245 503
"26" 400 3251 124188 1979 317 300 655
"27" 416 4107 123316 2494 429 363 821
"28" 432 5128 122253 3081 544 468 1035
"29" 448 6521 120830 3914 696 584 1327
"30" 464 8212 119087 4927 853 743 1689
"31" 480 10408 116857 6267 1097 944 2100
"32" 496 13268 113941 8028 1406 1188 2646
"33" 512 16531 110558 9989 1707 1493 3342
"34" 528 20544 106411 12195 2193 1883 4273
"35" 544 25611 101253 15017 2793 2358 5443
"36" 560 31744 94993 18344 3500 2976 6924
"37" 576 38848 87741 22150 4267 3733 8698
"38" 592 46968 79450 26188 5255 4643 10882
"39" 608 56123 70156 30276 6385 5835 13627
"40" 624 65770 60282 34045 7636 7230 16859
"41" 640 76062 49917 37350 9131 8896 20685
"42" 656 86214 39647 39612 10671 10782 25149
"43" 672 96112 29743 40964 11855 12971 30322
"44" 688 104625 21191 40389 12862 15453 35921
"45" 704 111740 14124 37690 13869 18153 42028
"46" 720 117297 8835 33648 14199 20963 48487
"47" 736 121040 5161 28147 14199 23820 54874
"48" 752 123538 2936 22385 13434 26523 61196
"49" 768 125138 1617 16879 12080 29064 67115
"50" 784 125982 956 11878 10634 31229 72241
"51" 800 126570 565 8034 8797 33115 76624
